종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
000050,경방,"13,300","30","0.00","13,400","13,300","34,740","465,257,150","13,250","13,500","13,150","500",원(KRW),"27,415,270","364,623,091,000",
214390,경보제약,"14,600","100","0.69","14,600","14,550","105,684","1,546,076,550","14,700","14,850","14,500","500",원(KRW),"23,906,860","349,040,156,000",
012610,경인양행,"5,500","150","2.80","5,500","5,460","213,295","1,173,382,120","5,350","5,610","5,350","500",원(KRW),"40,396,365","222,180,007,500",
009140,경인전자,"28,600","-750","2.56","28,650","28,600","6,525","187,037,100","28,400","29,300","28,250","5,000",원(KRW),"1,570,797","44,924,794,200",
024910,경창산업,"3,820","80","2.14","3,820","3,810","30,856","116,785,970","3,740","3,870","3,700","500",원(KRW),"17,560,000","67,079,200,000",
013580,계룡건설,"19,650","850","4.52","19,650","19,350","24,554","476,264,800","18,700","19,850","18,700","5,000",원(KRW),"8,930,907","175,492,322,550",
012200,계양전기,"4,290","30","0.70","4,295","4,290","60,446","259,926,820","4,270","4,335","4,260","500",원(KRW),"32,600,000","139,854,000,000",
012205,계양전기우,"3,385","-30","0.88","3,410","3,385","16,346","55,660,345","3,410","3,445","3,385","500",원(KRW),"1,400,000","4,739,000,000",
004200,고려개발,"5,350","-50","0.93","5,350","5,340","20,832","111,422,510","5,350","5,500","5,320","5,000",원(KRW),"21,550,000","115,292,500,000",
089890,고려반도체,"6,110","-340","5.27","6,110","6,100","80,861","497,147,910","6,510","6,510","5,960","500",원(KRW),"8,426,114","51,483,556,540",
002140,고려산업,"3,470","560","19.24","3,475","3,470","19,314,893","68,791,116,260","3,080","3,780","3,030","1,000",원(KRW),"24,939,425","86,539,804,750",
198440,고려시멘트,"2,250","10","0.45","2,250","2,245","1,016,609","2,245,696,380","2,230","2,265","2,175","100",원(KRW),"31,003,960","69,758,910,000",
